iter	RMSE
143	5.041894283
144	5.037553907
145	5.031653255
146	5.028630267
147	5.019935889
148	5.015217905
149	5.012082655
150	5.009099442
151	5.003561139
152	4.994479867
153	4.989079348
154	4.984658371
155	4.979902468
156	4.973503006
157	4.967919894
158	4.961031156
159	4.955288542
160	4.953081857
161	4.948730551
162	4.943814622
163	4.940668234
164	4.93751662
165	4.935326325
166	4.931583286
167	4.928202945
168	4.925566481
169	4.920094299
170	4.912611008
171	4.909173637
172	4.904115901
173	4.90013704
174	4.895041315
175	4.892998749
176	4.88869485
177	4.886273103
178	4.882922594
179	4.874051241
180	4.868008146
181	4.862356159
182	4.858356434
183	4.854834455
184	4.850863122
185	4.847399437
186	4.845245944
187	4.840760661
188	4.8365556
189	4.83282433
190	4.82828403
191	4.825200394
192	4.823123174
193	4.820843724
194	4.817638194
195	4.815381278
196	4.812539827
197	4.805772561
198	4.802990136
199	4.800558834
200	4.797257983
201	4.791221356
202	4.789057284
203	4.787292535
204	4.779497401
205	4.774627652
206	4.770940829
207	4.768396127
208	4.76320131
209	4.76189355
210	4.758125619
211	4.754593452
212	4.750736904
213	4.747160966
214	4.743812094
215	4.741596164
216	4.739221315
217	4.737879801
218	4.735063198
219	4.733405729
220	4.732112164
221	4.727189688
222	4.7233348
223	4.717884468
224	4.713969879
225	4.712541738
226	4.710492947
227	4.704947911
228	4.702987967
229	4.701396062
230	4.697049668
231	4.695338345
232	4.690396925
233	4.688362343
234	4.683479451
235	4.677374757
236	4.672451049
237	4.671431949
238	4.664877939
239	4.660144029
240	4.658344404
241	4.655506211
242	4.654366326
243	4.651636197
244	4.647435368
245	4.646244264
246	4.642279878
247	4.63613378
248	4.634542908
249	4.631896582
250	4.630243294
251	4.627586982
252	4.624517921
253	4.620638728
254	4.617410045
255	4.614747429
256	4.613336978
257	4.60818004
258	4.607472812
259	4.604414632
260	4.601190573
261	4.596151436
262	4.594548039
263	4.591390393
264	4.586565642
265	4.581735997
266	4.579568135
267	4.573989613
268	4.568717862
269	4.566426674
270	4.558908841
271	4.557124294
272	4.555304069
273	4.548903451
274	4.54307276
275	4.541337084
276	4.539312358
277	4.534352136
278	4.531119677
279	4.529250875
280	4.523262417
281	4.520884649
282	4.515563332
283	4.508056395
284	4.505027746
285	4.498719134
286	4.494424418
287	4.492492533
288	4.490960967
289	4.490280254
290	4.487937036
291	4.484021958
292	4.478644038
293	4.476858125
294	4.471613716
295	4.468530125
296	4.466318795
297	4.464618851
298	4.45951588
299	4.456041585
300	4.454767906
301	4.452709207
302	4.451317941
303	4.446433396
304	4.443443281
305	4.442601451
306	4.439820231
307	4.435456065
308	4.42950984
309	4.426349666
310	4.423048255
311	4.420127626
312	4.414535327
313	4.407338283
314	4.403447186
315	4.398713586
316	4.397451027
317	4.396858612
318	4.393958813
319	4.387816468
320	4.383306624
321	4.379882717
322	4.375674428
323	4.371344782
324	4.370770958
325	4.367611079
326	4.366076119
327	4.365819192
328	4.36043843
329	4.359613439
330	4.354019973
331	4.35127507
332	4.350146087
333	4.347732966
334	4.342183282
335	4.338136562
336	4.337365064
337	4.334630205
338	4.334147235
339	4.330867216
340	4.329114876
341	4.328545289
342	4.323602383
343	4.321870425
344	4.317327794
345	4.312622543
346	4.309168228
347	4.306329322
348	4.30361859
349	4.299600791
350	4.295836645
351	4.29425687
352	4.292284638
353	4.291538014
354	4.287693287
355	4.28719438
356	4.285052059
357	4.280293654
358	4.277892929
359	4.273123074
360	4.271543363
361	4.268972065
362	4.264275782
363	4.263565596
364	4.262893366
365	4.260183041
366	4.256202261
367	4.25293729
368	4.251897323
369	4.250916239
370	4.247052763
371	4.24415039
372	4.24301268
373	4.239428002
374	4.235837957
375	4.234438437
376	4.231622049
377	4.225846833
378	4.223808799
379	4.220266221
380	4.217513171
381	4.216522819
382	4.211958356
383	4.20792777
384	4.203903412
385	4.199026572
386	4.197189388
387	4.194681457
388	4.191594783
389	4.190063602
390	4.188941426
391	4.186844686
392	4.181817539
393	4.18077741
394	4.17840182
395	4.17581383
396	4.173292835
397	4.170144867
398	4.166891045
399	4.16603143
400	4.163946156
401	4.163539113
402	4.159074166
403	4.155222637
404	4.153176192
405	4.149957661
406	4.146461325
407	4.146355972
408	4.143229328
409	4.13948811
410	4.133900974
411	4.130505169
412	4.129213347
413	4.124778725
414	4.121709671
415	4.117398112
416	4.113198653
417	4.108532916
418	4.107633504
419	4.104693745
420	4.10280522
421	4.100009609
422	4.097461245
423	4.094441584
424	4.091131392
425	4.090119473
426	4.088148134
427	4.085701758
428	4.085141579
429	4.081848205
430	4.079597284
431	4.075688657
432	4.072703778
433	4.071050472
434	4.069763624
435	4.067059336
436	4.063997517
437	4.059777266
438	4.056592248
439	4.055450617
440	4.051592804
441	4.048952557
442	4.043738332
443	4.041599002
444	4.041517964
445	4.038049732
446	4.037157032
447	4.034963898
448	4.032439501
449	4.032010585
450	4.030466073
451	4.029023032
452	4.02663477
453	4.024761193
454	4.023374964
455	4.021007075
456	4.018463079
457	4.017844745
458	4.013732303
459	4.011509611
460	4.009587336
461	4.005903044
462	4.00096782
463	3.999478855
464	3.99647291
465	3.993425779
466	3.99271999
467	3.989942968
468	3.985599906
469	3.985342896
470	3.985035821
471	3.98222422
472	3.977676056
473	3.976712422
474	3.975183086
475	3.970197534
476	3.96811234
477	3.96664778
478	3.964434399
479	3.964046551
480	3.962891167
481	3.960283333
482	3.957495846
483	3.953196321
484	3.952634531
485	3.949856701
486	3.947626204
487	3.945525116
488	3.943644796
489	3.940233075
490	3.93931864
491	3.936956194
492	3.936859405
493	3.934966765
494	3.932406686
495	3.929326937
496	3.925298831
497	3.921331959
498	3.91954053
499	3.918660979
500	3.91749713
501	3.914722173
502	3.912402388
503	3.908795571
504	3.905794903
505	3.902717531
506	3.902067734
507	3.898691324
508	3.895302403
509	3.891541495
510	3.890281439
511	3.885535949
512	3.88470496
513	3.883318443
514	3.880032036
515	3.878999873
516	3.878296254
517	3.875642941
518	3.875243618
519	3.872766015
520	3.870944307
521	3.870187804
522	3.869689091
523	3.868326726
524	3.865855105
525	3.863234448
526	3.861030095
527	3.857618105
528	3.856530729
529	3.855073983
530	3.853757289
531	3.852560041
532	3.850642615
533	3.846571383
534	3.84420308
535	3.842429166
536	3.838757142
537	3.836517478
538	3.833132432
539	3.831836321
540	3.831686319
541	3.828930878
542	3.826310405
543	3.825591283
544	3.824187425
545	3.823308546
546	3.821938166
547	3.819549772
548	3.816546903
549	3.81503735
550	3.812526292
551	3.810517985
552	3.80923228
553	3.807758153
554	3.806530743
555	3.804973744
556	3.802157977
557	3.799492679
558	3.798238094
559	3.796238068
560	3.792009642
561	3.789501816
562	3.78859783
563	3.785315936
564	3.781145441
565	3.779255574
566	3.778525775
567	3.776019553
568	3.77422043
569	3.773468922
570	3.772806896
571	3.771378508
572	3.769545045
573	3.765996086
574	3.763129967
575	3.760694359
576	3.760305939
577	3.759547597
578	3.758941043
579	3.755640938
580	3.755069401
581	3.7536793
582	3.750272454
583	3.748548149
584	3.748169052
585	3.745007748
586	3.743802789
587	3.740393313
588	3.738116037
589	3.73737905
590	3.735279833
591	3.734159422
592	3.73324245
593	3.732122453
594	3.730268132
595	3.726041865
596	3.724174519
597	3.722042413
598	3.71878937
599	3.717570002
600	3.714219846
601	3.712926198
602	3.711660938
603	3.70848273
604	3.706941482
605	3.706285875
606	3.704562572
607	3.701246203
608	3.698791797
609	3.698113115
610	3.69495706
611	3.691058019
612	3.686929224
613	3.686208086
614	3.683852544
615	3.681029888
616	3.678104475
617	3.675104312
618	3.672468548
619	3.671904942
620	3.67006927
621	3.66936159
622	3.665732165
623	3.663264939
624	3.66035474
625	3.658479068
626	3.655275978
627	3.652122567
628	3.650421356
629	3.649083598
630	3.64717429
631	3.645793427
632	3.643394404
633	3.642906757
634	3.640921909
635	3.638896734
636	3.636274244
637	3.633734052
638	3.630819215
639	3.629372008
640	3.627504804
641	3.627029328
642	3.62499012
643	3.623257589
644	3.620592437
645	3.62030158
646	3.619985184
647	3.619146979
648	3.616477726
649	3.615825446
650	3.614590337
651	3.61301429
652	3.611935789
653	3.610183773
654	3.607297058
655	3.605485078
656	3.601643211
657	3.598981003
658	3.595896431
659	3.594356028
660	3.59261511
661	3.591291593
662	3.588495988
663	3.587510922
664	3.586460089
665	3.583545356
666	3.580670439
667	3.579393203
668	3.576371908
669	3.574124942
670	3.571400282
671	3.570569781
672	3.568045162
673	3.56645974
674	3.563524467
675	3.563088646
676	3.559829872
677	3.558827422
678	3.558433702
679	3.556283585
680	3.555516978
681	3.553429438
682	3.551649205
683	3.549859396
684	3.547117496
685	3.546005413
686	3.544465322
687	3.544107434
688	3.542943112
689	3.540113056
690	3.539354611
691	3.536579198
692	3.53569975
693	3.533747065
694	3.532819406
695	3.53077332
696	3.528465645
697	3.527490458
698	3.526293883
699	3.524915132
700	3.524407131
701	3.521879409
702	3.519281615
703	3.518571941
704	3.516835387
705	3.514791658
706	3.513768658
707	3.513076395
708	3.511647454
709	3.509569904
710	3.506846094
711	3.504997692
712	3.503736293
713	3.503036708
714	3.500427143
715	3.498549546
716	3.494646122
717	3.49377219
718	3.493471609
719	3.491939116
720	3.489278318
721	3.485951295
722	3.483575159
723	3.481366704
724	3.479673186
725	3.477629605
726	3.475345698
727	3.474759406
728	3.473127145
729	3.471506218
730	3.470778175
731	3.470369731
732	3.46680403
733	3.465131313
734	3.46261741
735	3.459722448
736	3.457057657
737	3.456412763
738	3.455585241
739	3.453451573
740	3.450941344
741	3.449583482
742	3.447746373
743	3.447176191
744	3.44581328
745	3.444904765
746	3.442295482
747	3.441807825
748	3.439344659
749	3.436653126
750	3.435188181
751	3.434659498
752	3.433034236
753	3.431560842
754	3.428649145
755	3.426744895
756	3.42452555
757	3.422790057
758	3.42037912
759	3.417541828
760	3.414337779
761	3.413813429
762	3.413221043
763	3.41116122
764	3.410741472
765	3.408590246
766	3.408219285
767	3.407641951
768	3.406305488
769	3.403926221
770	3.403061222
771	3.402345542
772	3.401499315
773	3.399074923
774	3.398204617
775	3.39700506
776	3.393605589
777	3.390578568
778	3.388610655
779	3.386314754
780	3.384159064
781	3.381742403
782	3.381145857
783	3.380786438
784	3.378278892
785	3.374650842
786	3.374134404
787	3.372725171
788	3.372354354
789	3.369834429
790	3.369453594
791	3.367890291
792	3.365864525
793	3.363265214
794	3.361314092
795	3.360517403
796	3.358162043
797	3.35714653
798	3.354999839
799	3.353038221
800	3.350616411
801	3.35028435
802	3.348513859
803	3.347589743
804	3.345402189
805	3.342868753
806	3.342257101
807	3.341764956
808	3.341663551
809	3.339130401
810	3.339055216
811	3.338405452
812	3.335712209
813	3.334103851
814	3.332220036
815	3.329934649
816	3.329440165
817	3.32822301
818	3.327770942
819	3.32674566
820	3.324643711
821	3.323669712
822	3.32160107
823	3.320416928
824	3.318567216
825	3.318062353
826	3.316106556
827	3.314197888
828	3.311460568
829	3.309099961
830	3.308578526
831	3.306286512
832	3.305685989
833	3.30549017
834	3.304161413
835	3.302590521
836	3.302272683
837	3.300836816
838	3.300461198
839	3.298370624
840	3.297225915
841	3.295549235
842	3.294306979
843	3.293176731
844	3.292572114
845	3.290360006
846	3.287870102
847	3.286309431
848	3.286169596
849	3.285510458
850	3.283745913
851	3.281852173
852	3.28056232
853	3.278803486
854	3.276328061
855	3.275698472
856	3.273949534
857	3.272902522
858	3.270642983
859	3.269913259
860	3.268814938
861	3.266964301
862	3.265459572
863	3.263722806
864	3.26210992
865	3.261779661
866	3.259699738
867	3.258444765
868	3.256092522
869	3.254972695
870	3.253719272
871	3.252425697
872	3.250596037
873	3.250450284
874	3.249939552
875	3.248811659
876	3.246933151
877	3.244470398
878	3.242936318
879	3.24261598
880	3.240206171
881	3.239892112
882	3.238789321
883	3.238007198
884	3.237262679
885	3.235810619
886	3.235556705
887	3.235333489
888	3.232359748
889	3.231315911
890	3.229260755
891	3.228787555
892	3.224562763
893	3.22315908
894	3.221521748
895	3.220225812
896	3.218271003
897	3.216787373
898	3.216181889
899	3.214744206
900	3.212054452
901	3.210776872
902	3.209277908
903	3.208168651
904	3.205093892
905	3.203221593
906	3.202542471
907	3.200301506
908	3.19998153
909	3.197986367
910	3.195664957
911	3.194033024
912	3.191861342
913	3.189729789
914	3.187929657
915	3.186521927
916	3.186323378
917	3.185544002
918	3.184871818
919	3.183140408
920	3.180578608
921	3.179447477
922	3.176051274
923	3.174186186
924	3.174037905
925	3.171952171
926	3.171422384
927	3.169488318
928	3.168549068
929	3.165424544
930	3.164556278
931	3.163564832
932	3.163108702
933	3.162607612
934	3.159175175
935	3.157555428
936	3.155889431
937	3.153930163
938	3.15227735
939	3.151104508
940	3.148867355
941	3.146977873
942	3.145338965
943	3.143879006
944	3.142514706
945	3.141339034
946	3.140619791
947	3.139203688
948	3.137478992
949	3.135528605
950	3.13382928
951	3.131870232
952	3.130018196
953	3.128821201
954	3.126599873
955	3.125914888
956	3.124174298
957	3.123524033
958	3.122549575
959	3.118939566
960	3.118090892
961	3.11800772
962	3.117302004
963	3.116034317
964	3.115949741
965	3.114606277
966	3.114366372
967	3.113045268
968	3.112740819
969	3.110670567
970	3.109494143
971	3.106947828
972	3.106039375
973	3.104198056
974	3.101835672
975	3.099163043
976	3.098785751
977	3.09757449
978	3.096060198
979	3.095656479
980	3.093768447
981	3.092647818
982	3.091145375
983	3.090014534
984	3.08895783
985	3.087617677
986	3.085613746
987	3.084613152
988	3.083266959
989	3.082594889
990	3.082509836
991	3.080738326
992	3.078552806
993	3.07695346
994	3.075701259
995	3.074542621
996	3.072977009
997	3.072746437
998	3.071518181
999	3.071165858
